abbrev,habitat,prepass,postpass,unscaled
CO,sCO,PREPASS_CO,POSTPASS,Coho_salmon
CH,sCH,PREPASS_CH,POSTPASS,Chinook_salmon
ST,sST,PREPASS_ST,POSTPASS,Steelhead
CT,sCT,PREPASS_CT,POSTPASS,Cutthroat_Trout
CU,sCU,PREPASS_CU,POSTPASS,Chum
FI,sInundHab_Current,PREPASS_Inund,POSTPASS,InundHab_Current
AG,sAgri_Current,PREPASS_AgrInf,POSTPASS,Agri_Current
RR,sRoadRail_Current,PREPASS_AgrInf,POSTPASS,RoadRail_Current
BL,sBuilding_Current,PREPASS_AgrInf,POSTPASS,Building_Current
PS,sPublicUse_Current,PREPASS_AgrInf,POSTPASS,PublicUse_Current
