abbrev,long,short,label,infra
CO,Coho Streams,Coho,Habitat Potential (miles),False
CH,Chinook Streams,Chinook,Habitat Potential (miles),False
ST,Steelhead Streams,Steelhead,Habitat Potential (miles),False
CT,Cutthroat Streams,Cutthroat,Habitat Potential (miles),False
CU,Chum Streams,Chum,Habitat Potential (miles),False
FI,Fish Habitat Inundation,Inund,Habitat Potential (acres),True
AG,Agriculture,Agric,Farmland Potentially Protected (acres),True
RR,Roads & Railroads,Roads,Roads Potentially Protected (miles),True
BL,Buildings,Bldgs,Buldings Potentially Protected,True
PS,Public-Use Structures,Public,Structures Potentially Protected,True
